Province_State,Country_Region,Confirmed,Deaths,Recovered,Active,Tests,Hospitalized
Alabama,US,11101,473,,10628.0,141985,1350
Alaska,US,383,10,339,34.0,31762,
American Samoa,US,0,0,,0.0,105,
Arizona,US,12674,624,3074,8976.0,134338,1636
Arkansas,US,4366,98,3277,991.0,75818,509
California,US,74871,3052,,71819.0,1104651,
Colorado,US,20838,1086,3217,16535.0,114519,3735
Connecticut,US,35464,3219,6264,25981.0,149562,10946
Delaware,US,7223,260,3080,3883.0,36857,
Diamond Princess,US,49,0,,49.0,,
District of Columbia,US,6736,358,966,5412.0,32999,
Florida,US,43210,1875,,41335.0,608837,7993
Georgia,US,35977,1545,,34432.0,285881,6345
Grand Princess,US,103,3,,100.0,,
Guam,US,152,5,124,23.0,4379,
Hawaii,US,637,17,563,57.0,38881,81
Idaho,US,2351,72,1557,722.0,33754,212
Illinois,US,87937,3928,,84009.0,512037,
Indiana,US,26053,1646,,24407.0,160239,4389
Iowa,US,13675,318,6231,7126.0,89294,
Kansas,US,7705,189,422,7094.0,57628,704
Kentucky,US,7225,328,2649,4248.0,117395,1835
Louisiana,US,33489,2417,22608,8464.0,247588,
Maine,US,1565,69,958,538.0,23657,207
Maryland,US,35903,1866,2569,31468.0,178454,6553
Massachusetts,US,82182,5482,,76700.0,410032,8032
Michigan,US,49582,4787,22686,22109.0,335883,
Minnesota,US,13435,672,8473,4290.0,128752,1915
Mississippi,US,10483,480,6268,3735.0,105326,1667
Missouri,US,10594,566,,10028.0,127110,
Montana,US,462,16,431,15.0,24549,63
Nebraska,US,9260,103,,9157.0,53341,
Nevada,US,6504,333,244,5927.0,69484,
New Hampshire,US,3382,151,1236,1995.0,39175,326
New Jersey,US,142704,9946,15642,117116.0,451696,
New Mexico,US,5503,242,1515,3746.0,115011,886
New York,US,343051,27641,59758,255652.0,1298757,74433
North Carolina,US,16968,641,9115,7212.0,219268,
North Dakota,US,1712,40,1007,665.0,50246,129
Northern Mariana Islands,US,19,2,12,5.0,3325,
Ohio,US,26357,1534,,24823.0,233352,4718
Oklahoma,US,4963,284,3660,1019.0,112183,858
Oregon,US,3479,137,1406,1936.0,84050,685
Pennsylvania,US,63105,4288,,58817.0,311195,
Puerto Rico,US,2427,117,,2310.0,2427,
Rhode Island,US,12016,468,903,10645.0,101601,1351
South Carolina,US,8189,371,4914,2904.0,102535,1338
South Dakota,US,3792,43,2437,1312.0,26473,290
Tennessee,US,16699,287,8881,7531.0,302317,1435
Texas,US,44480,1235,24487,18758.0,623284,
Utah,US,6749,75,3566,3108.0,160119,558
Vermont,US,932,53,792,87.0,22505,
Virgin Islands,US,69,6,61,2.0,1233,
Virginia,US,27813,956,3678,23179.0,166830,5211
Washington,US,17773,983,,16790.0,261080,
West Virginia,US,1427,60,870,497.0,68713,
Wisconsin,US,11275,434,5994,4847.0,133873,1939
Wyoming,US,701,7,480,214.0,15430,67
