Province_State,Country_Region,Confirmed,Deaths,Recovered,Active,Tests,Hospitalized
Alabama,US,11373,483,,10890.0,146063,1377
Alaska,US,388,10,343,35.0,32418,
American Samoa,US,0,0,,0.0,105,
Arizona,US,13169,651,3145,9373.0,142001,1629
Arkansas,US,4463,98,3390,975.0,81529,520
California,US,76693,3136,,73557.0,1133906,
Colorado,US,21232,1150,3217,16865.0,118030,3789
Connecticut,US,36085,3285,6264,26536.0,155908,10946
Delaware,US,7373,271,3210,3892.0,38278,
Diamond Princess,US,49,0,,49.0,,
District of Columbia,US,6871,368,975,5528.0,34339,
Florida,US,44138,1917,,42221.0,608837,7993
Georgia,US,36772,1588,,35184.0,301874,6438
Grand Princess,US,103,3,,100.0,,
Guam,US,154,5,124,25.0,4515,
Hawaii,US,638,17,564,57.0,38776,81
Idaho,US,2351,72,1573,706.0,34745,212
Illinois,US,90369,4059,,86310.0,538602,
Indiana,US,26656,1691,,24965.0,165448,4389
Iowa,US,14049,336,6561,7152.0,93566,
Kansas,US,7886,193,443,7250.0,61592,724
Kentucky,US,7444,332,2712,4400.0,121278,1887
Louisiana,US,33837,2448,22608,8781.0,253189,
Maine,US,1603,69,993,541.0,23695,211
Maryland,US,36986,1911,2685,32390.0,182826,6679
Massachusetts,US,83421,5592,,77829.0,435679,8314
Michigan,US,50079,4825,22686,22568.0,357496,
Minnesota,US,14240,692,8820,4728.0,134669,1985
Mississippi,US,10801,493,6268,4040.0,106823,1712
Missouri,US,10766,581,,10185.0,134458,
Montana,US,466,16,431,19.0,25418,63
Nebraska,US,9610,113,,9497.0,57215,
Nevada,US,6733,343,272,6118.0,72146,
New Hampshire,US,3453,151,1247,2055.0,42612,335
New Jersey,US,143984,10148,15642,118194.0,462972,
New Mexico,US,5662,253,1576,3833.0,119601,886
New York,US,345813,27878,60302,257633.0,1338048,74751
North Carolina,US,17494,667,9115,7712.0,231547,
North Dakota,US,1761,42,1071,648.0,51715,130
Northern Mariana Islands,US,19,2,12,5.0,3325,
Ohio,US,26954,1581,,25373.0,246182,4791
Oklahoma,US,5087,285,3801,1001.0,118192,863
Oregon,US,3541,137,1406,1998.0,89506,691
Pennsylvania,US,64136,4422,,59714.0,319832,
Puerto Rico,US,2542,122,,2420.0,2542,
Rhode Island,US,12219,479,919,10821.0,104978,1372
South Carolina,US,8407,380,5076,2951.0,109616,1421
South Dakota,US,3887,44,2574,1269.0,27414,296
Tennessee,US,16960,290,9280,7390.0,309756,1454
Texas,US,45721,1280,25454,18987.0,645992,
Utah,US,6913,77,3719,3117.0,163218,566
Vermont,US,933,53,796,84.0,23205,
Virgin Islands,US,69,6,61,2.0,1263,
Virginia,US,28672,978,3805,23889.0,178014,5316
Washington,US,17951,991,,16960.0,267931,
West Virginia,US,1447,64,870,513.0,70936,
Wisconsin,US,11685,445,6250,4990.0,140342,1977
Wyoming,US,716,7,487,222.0,16022,68
