Province_State,Country_Region,Confirmed,Deaths,Recovered,Active,Tests,Hospitalized
Alabama,US,9889,393,,9496.0,127421,1240
Alaska,US,379,10,324,45.0,27364,
American Samoa,US,0,0,,0.0,83,
Arizona,US,11119,536,2775,7808.0,137739,1528
Arkansas,US,4012,91,2968,953.0,65528,471
California,US,67600,2716,,64884.0,955664,
Colorado,US,19703,971,3023,15709.0,100610,3623
Connecticut,US,33554,2967,5413,25174.0,130192,9389
Delaware,US,6277,221,2537,3519.0,31039,
Diamond Princess,US,49,0,,49.0,,
District of Columbia,US,6272,323,880,5069.0,29570,
Florida,US,40596,1721,,38875.0,538948,7404
Georgia,US,33580,1406,,32174.0,243547,5997
Grand Princess,US,103,3,,100.0,,
Guam,US,151,5,124,22.0,3794,
Hawaii,US,632,17,551,64.0,37270,81
Idaho,US,2230,67,1473,690.0,32142,207
Illinois,US,77741,3406,,74335.0,429984,
Indiana,US,24126,1508,,22618.0,140029,4389
Iowa,US,11959,265,5154,6540.0,74174,
Kansas,US,6951,174,371,6406.0,52505,657
Kentucky,US,6440,304,2308,3828.0,86923,1757
Louisiana,US,31600,2286,20316,8998.0,215872,
Maine,US,1436,64,861,511.0,23528,199
Maryland,US,32587,1644,2293,28650.0,159931,5955
Massachusetts,US,77793,4979,,72814.0,388389,7617
Michigan,US,47182,4555,22686,19941.0,285678,
Minnesota,US,11271,578,6882,3811.0,111088,1657
Mississippi,US,9501,430,4421,4650.0,81602,1531
Missouri,US,10068,503,,9565.0,115546,
Montana,US,458,16,422,20.0,21704,62
Nebraska,US,8171,90,,8081.0,45569,
Nevada,US,6120,310,182,5628.0,58809,
New Hampshire,US,3071,133,1228,1710.0,33453,313
New Jersey,US,138754,9256,15642,113856.0,312447,
New Mexico,US,4863,200,1268,3395.0,97053,789
New York,US,335395,26641,58006,250748.0,1182998,72715
North Carolina,US,14938,564,,14374.0,192135,
North Dakota,US,1491,35,792,664.0,44869,110
Northern Mariana Islands,US,16,2,12,2.0,2337,
Ohio,US,24081,1341,,22740.0,204862,4351
Oklahoma,US,4589,272,3204,1113.0,95968,826
Oregon,US,3228,127,1125,1976.0,75507,670
Pennsylvania,US,59939,3806,,56133.0,284383,
Puerto Rico,US,2198,111,,2087.0,2198,
Rhode Island,US,11274,422,809,10043.0,91213,1251
South Carolina,US,7653,331,4120,3202.0,84457,1252
South Dakota,US,3517,34,2147,1336.0,23894,261
Tennessee,US,14985,243,7528,7214.0,261869,1325
Texas,US,39258,1094,21022,17142.0,501776,
Utah,US,6251,67,3033,3151.0,146510,512
Vermont,US,927,53,777,97.0,20048,
Virgin Islands,US,69,4,59,6.0,1171,
Virginia,US,24081,839,3201,20041.0,143055,4756
Washington,US,16891,931,,15960.0,242989,
West Virginia,US,1360,54,775,531.0,62644,
Wisconsin,US,10219,400,5014,4805.0,115382,1820
Wyoming,US,662,7,443,212.0,12064,65
